2025-06-24 05:44:14,455 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\api_core\retry\retry_unary.py, line 147: result = target()
2025-06-24 05:44:14,455 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\api_core\timeout.py, line 130: return func(*args, **kwargs)
2025-06-24 05:44:14,455 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\api_core\grpc_helpers.py, line 78: raise exceptions.from_grpc_error(exc) from exc
2025-06-24 05:44:14,456 | ERROR    |  django.request | log_response         | Line 241  | Internal Server Error: /IDA/upload/
2025-06-24 05:44:37,032 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 05:44:44,900 | INFO     | ImageApp1.views | post                 | Line 294  | Upload request received
2025-06-24 05:44:48,235 | INFO     |            root | post                 | Line 459  | Input tokens: 1563, Output tokens: 239
2025-06-24 05:44:53,735 | INFO     | ImageApp1.views | post                 | Line 500  | Document processed and saved successfully. Document ID: gAAAAABoWjtVmgX9D399LT5lQ7ZZB3GM5es1xyUl-7joa8il9Y3jJrp5IHJg00bGh0gtkdk0w23ays95-TCwyf2gLhmPQjGumA==
2025-06-24 05:45:43,306 | INFO     | ImageApp1.views | get                  | Line 95   | GetDocumentByIdView called with encrypted ID: gAAAAABoWjtVmgX9D399LT5lQ7ZZB3GM5es1xyUl-7joa8il9Y3jJrp5IHJg00bGh0gtkdk0w23ays95-TCwyf2gLhmPQjGumA==
2025-06-24 05:45:43,307 | DEBUG    | ImageApp1.views | get                  | Line 99   | Decrypted ID: 180
2025-06-24 05:45:43,325 | INFO     | ImageApp1.views | get                  | Line 103  | Document 180 retrieved successfully
2025-06-24 05:51:49,930 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-24 05:51:53,685 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 05:52:54,768 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-24 05:52:56,655 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 05:53:01,108 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-24 05:53:03,036 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 05:53:49,530 | INFO     | authentication.views | post                 | Line 155  | Login attempt received.
2025-06-24 05:53:50,115 | INFO     | authentication.views | post                 | Line 172  | Login successful for user: abc
2025-06-24 05:54:10,038 | INFO     | ImageApp1.views | get                  | Line 131  | UserDocumentView accessed by user ID: 3
2025-06-24 05:54:10,040 | INFO     | ImageApp1.views | get                  | Line 138  | Fetching documents for user ID: 3
2025-06-24 05:54:10,063 | ERROR    | ImageApp1.views | get                  | Line 159  | Exception occurred while fetching user documents.
2025-06-24 05:54:10,066 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py, line 146: total_input_tokens = sum(doc.input_token for doc in documents)
2025-06-24 05:54:10,067 | ERROR    |  django.request | log_response         | Line 241  | Internal Server Error: /IDA/documents/
2025-06-24 05:57:51,242 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-24 05:57:53,229 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 05:58:15,060 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-24 05:58:16,973 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 06:00:34,700 | INFO     | ImageApp1.views | get                  | Line 131  | UserDocumentView accessed by user ID: 3
2025-06-24 06:02:13,302 | INFO     | authentication.views | post                 | Line 155  | Login attempt received.
2025-06-24 06:00:30,529 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-24 06:02:32,846 | INFO     | ImageApp1.views | get                  | Line 138  | Fetching documents for user ID: 3
2025-06-24 06:02:34,568 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
